service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100658,1,1,1,1,1,0,0,20260330,20260828
1048,0,0,0,0,1,0,0,20260227,20260227
10857,0,0,0,0,0,0,0,20260401,20260617
121408,0,1,1,1,0,0,0,20260224,20260828
122175,0,1,1,1,1,0,0,20260224,20260828
1324,0,0,1,0,0,0,0,20260617,20260617
14418,0,0,0,0,0,0,0,20260225,20260610
1451,0,0,1,0,0,0,0,20260225,20260225
14968,1,1,0,1,0,0,0,20260302,20260327
15704,1,1,1,1,0,0,0,20260302,20260326
15742,0,0,0,0,0,0,0,20260225,20260617
1580,0,0,0,0,1,0,0,20260313,20260313
16548,1,1,0,1,1,0,0,20260302,20260327
18402,1,1,1,1,0,0,0,20260302,20260327
18915,0,0,0,0,0,0,1,20260329,20260823
19086,1,1,1,1,1,0,0,20260302,20260326
19360,0,0,0,0,0,0,0,20260403,20260828
1952,0,1,0,1,1,0,0,20260224,20260227
19982,1,1,1,1,1,0,0,20260302,20260327
20783,0,0,0,0,0,0,1,20260329,20260823
21550,0,0,0,0,0,0,1,20260329,20260823
22337,1,1,1,1,0,0,0,20260224,20260327
23385,1,1,1,1,1,0,0,20260224,20260327
2355,0,1,1,1,0,0,0,20260224,20260226
24116,0,0,0,0,0,0,1,20260301,20260823
24883,0,0,0,0,0,0,1,20260301,20260823
25820,0,0,0,0,0,1,0,20260328,20260822
30799,0,0,0,0,0,0,0,20260330,20260616
31896,0,0,0,0,0,1,0,20260228,20260822
3333,0,0,0,0,0,0,1,20260301,20260322
3403,0,1,1,1,1,0,0,20260224,20260227
3434,0,0,1,0,0,0,0,20260304,20260325
38795,0,0,0,0,0,0,0,20260330,20260605
39284,0,0,0,0,0,0,0,20260330,20260605
41639,0,0,0,0,0,0,0,20260224,20260605
41656,0,0,0,0,0,0,0,20260330,20260617
4278,0,0,0,0,1,0,0,20260306,20260327
47719,0,0,0,0,0,0,0,20260224,20260616
5014,0,0,1,0,0,0,0,20260304,20260325
5326,0,0,0,0,1,0,0,20260227,20260327
5351,0,0,0,0,0,1,0,20260228,20260321
56367,0,0,0,0,0,0,0,20260413,20260828
58739,0,0,0,0,0,0,0,20260413,20260828
59228,0,0,0,0,0,0,0,20260413,20260828
6076,0,0,0,0,0,1,0,20260228,20260321
61621,0,0,0,0,0,0,0,20260224,20260605
63461,0,0,0,0,0,0,0,20260224,20260617
64678,0,0,1,0,0,0,0,20260401,20260828
67224,0,0,1,0,0,0,0,20260401,20260828
725,0,0,0,0,0,1,0,20260228,20260228
78663,0,1,1,1,0,0,0,20260330,20260827
83178,0,0,0,0,0,0,0,20260224,20260828
896,0,0,0,0,1,0,0,20260327,20260327
9533,0,0,0,0,0,0,0,20260401,20260610
98023,0,1,1,1,0,0,0,20260330,20260828
98790,0,1,1,1,1,0,0,20260330,20260828
