service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2025-12-07_Oct14_Link_Fall2025_FWLE_v2_Saturday,0,0,0,0,0,1,0,20260202,20260213
LLR_2025-12-07_Oct14_Link_Fall2025_FWLE_v2_Sunday,0,0,0,0,0,0,1,20260202,20260213
LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,1,1,1,1,1,0,0,20260119,20260213
LLR_2026-02-14_Jan29_Link_Q12026_CLC_SimSvc_Weekday,1,1,1,1,1,0,0,20260214,20260327
LLR_2026-02-14_Jan29_Q12026_CLC_SimSvc_Saturady,0,0,0,0,0,1,0,20260214,20260327
LLR_2026-02-14_Jan29_Q12026_CLC_SimSvc_Sunday,0,0,0,0,0,0,1,20260214,20260327
LLR_2026-03-28_Jan29_Q12026_CLC_SimSvc_Saturady,0,0,0,0,0,1,0,20260328,20260328
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,0,0,0,0,0,1,0,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,0,0,0,0,0,0,1,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260329,20260828
LinkShuttle20260207,0,0,0,0,0,1,0,20260207,20260207
LinkShuttle20260210-12,1,1,1,1,1,0,0,20260210,20260212
SNDR_Fall2024_Weekday,1,1,1,1,1,0,0,20260202,20260327
SNDR_Spring2026_Weekday,1,1,1,1,1,0,0,20260330,20260828
TLINE_2026-01-24_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20260124,20260828
TLINE_2026-01-24_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20260124,20260828
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20260126,20260828
