service_id,date,exception_type
LLR_2025-12-07_Oct14_Link_Fall2025_FWLE_v2_Saturday,20260207,2
LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,20260210,2
LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,20260211,2
LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,20260212,2
LLR_2026-02-07_Jan29_Link_Feb7_ALS_FWD_Closure_Saturday,20260207,1
LLR_2026-02-10_Jan30_Link_Feb2026_EMW_Weekday,20260210,1
LLR_2026-02-11_Jan30_Link_Feb2026_EMW_Weekday,20260211,1
LLR_2026-02-12_Jan30_Link_Feb2026_EMW_Weekday,20260212,1
SNDR_Fall2024_Reduced_Weekday,20251224,1
SNDR_Fall2024_Reduced_Weekday,20251231,1
SNDR_Fall2024_Weekday,20251127,2
SNDR_Fall2024_Weekday,20251128,2
SNDR_Fall2024_Weekday,20251224,2
SNDR_Fall2024_Weekday,20251225,2
SNDR_Fall2024_Weekday,20251226,2
SNDR_Fall2024_Weekday,20251231,2
SNDR_Fall2024_Weekday,20260101,2
SOUNDER_GAMEDAY_1210_Sunday,20250928,1
SOUNDER_GAMEDAY_1310,20250914,1
SOUNDER_GAMEDAY_DOUBLE_1305,20250907,1
SOUNDER_GAMEDAY_DOUBLE_1305,20250921,1
SOUNDER_GAMEDAY_DOUBLE_1305,20251005,1
SOUNDER_GAMEDAY_DOUBLE_1305,20251109,1
SOUNDER_GAMEDAY_DOUBLE_1305,20251130,1
SOUNDER_GAMEDAY_DOUBLE_1305,20251214,1
SOUNDER_WSF_1200,20250913,1
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,20260216,2
TLINE_2026-02-16_Aug25_TLine_Reduced_weekday,20260216,1
