shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-MT,1540,47.580380,-122.327560,0.0
1-SHUTTLE-A-MT,1541,47.580430,-122.327560,5.56
1-SHUTTLE-A-MT,1542,47.581230,-122.327560,94.52
1-SHUTTLE-A-MT,1543,47.585340,-122.327560,551.53
1-SHUTTLE-A-MT,1544,47.586000,-122.327560,624.92
1-SHUTTLE-A-MT,1545,47.586150,-122.327560,641.59
1-SHUTTLE-A-MT,1546,47.586150,-122.327430,651.34
1-SHUTTLE-A-MT,1547,47.586150,-122.327370,655.84
1-SHUTTLE-A-MT,1548,47.586150,-122.327290,661.84
1-SHUTTLE-A-MT,1549,47.586150,-122.326840,695.59
1-SHUTTLE-A-MT,1550,47.586150,-122.326560,716.59
1-SHUTTLE-A-MT,1551,47.586150,-122.326180,745.09
1-SHUTTLE-A-MT,1552,47.586150,-122.325980,760.09
1-SHUTTLE-A-MT,1553,47.586150,-122.325820,772.09
1-SHUTTLE-A-MT,1554,47.586140,-122.325210,817.86
1-SHUTTLE-A-MT,1555,47.586140,-122.325130,823.86
1-SHUTTLE-A-MT,1556,47.586150,-122.325010,832.92
1-SHUTTLE-A-MT,1557,47.586150,-122.324470,873.42
1-SHUTTLE-A-MT,1558,47.586150,-122.324420,877.17
1-SHUTTLE-A-MT,1559,47.586140,-122.324150,897.45
1-SHUTTLE-A-MT,1560,47.586130,-122.323850,919.98
1-SHUTTLE-A-MT,1561,47.586120,-122.323650,935.02
1-SHUTTLE-A-MT,1562,47.586110,-122.323090,977.04
1-SHUTTLE-A-MT,1563,47.586110,-122.322240,1040.78
1-SHUTTLE-A-MT,1564,47.586100,-122.320660,1159.29
1-SHUTTLE-A-MT,1565,47.586100,-122.320260,1189.29
1-SHUTTLE-A-MT,1566,47.586100,-122.320180,1195.29
1-SHUTTLE-A-MT,1567,47.586090,-122.320090,1202.13
1-SHUTTLE-A-MT,1568,47.586080,-122.319980,1210.45
1-SHUTTLE-A-MT,1569,47.586050,-122.319860,1220.05
1-SHUTTLE-A-MT,1570,47.586030,-122.319750,1228.6
1-SHUTTLE-A-MT,1571,47.585990,-122.319630,1238.63
1-SHUTTLE-A-MT,1572,47.585950,-122.319500,1249.35
1-SHUTTLE-A-MT,1573,47.585900,-122.319380,1259.93
1-SHUTTLE-A-MT,1574,47.585810,-122.319240,1274.43
1-SHUTTLE-A-MT,1575,47.585780,-122.319180,1280.04
1-SHUTTLE-A-MT,1576,47.585750,-122.319140,1284.52
1-SHUTTLE-A-MT,1577,47.585720,-122.319100,1289.01
1-SHUTTLE-A-MT,1578,47.585660,-122.319030,1297.5
1-SHUTTLE-A-MT,1579,47.585600,-122.318960,1305.99
1-SHUTTLE-A-MT,1580,47.585540,-122.318910,1313.64
1-SHUTTLE-A-MT,1581,47.585470,-122.318850,1322.63
1-SHUTTLE-A-MT,1582,47.585180,-122.318660,1357.89
1-SHUTTLE-A-MT,1583,47.585090,-122.318600,1368.86
1-SHUTTLE-A-MT,1584,47.584970,-122.318520,1383.49
1-SHUTTLE-A-MT,1585,47.584830,-122.318410,1401.11
1-SHUTTLE-A-MT,1586,47.584730,-122.318310,1414.52
1-SHUTTLE-A-MT,1587,47.584550,-122.318150,1437.86
1-SHUTTLE-A-MT,1588,47.584400,-122.318020,1457.18
1-SHUTTLE-A-MT,1589,47.584210,-122.317850,1481.85
1-SHUTTLE-A-MT,1590,47.584020,-122.317680,1506.53
1-SHUTTLE-A-MT,1591,47.583710,-122.317400,1546.89
1-SHUTTLE-A-MT,1592,47.582910,-122.316740,1648.7
1-SHUTTLE-A-MT,1593,47.582270,-122.316200,1730.58
1-SHUTTLE-A-MT,1594,47.582160,-122.316100,1744.93
1-SHUTTLE-A-MT,1595,47.582100,-122.316050,1752.58
1-SHUTTLE-A-MT,1596,47.582030,-122.315960,1762.88
1-SHUTTLE-A-MT,1597,47.582010,-122.315930,1766.05
1-SHUTTLE-A-MT,1598,47.581990,-122.315880,1770.41
1-SHUTTLE-A-MT,1599,47.581970,-122.315850,1773.57
1-SHUTTLE-A-MT,1600,47.581950,-122.315770,1779.97
1-SHUTTLE-A-MT,1601,47.581920,-122.315690,1786.84
1-SHUTTLE-A-MT,1602,47.581900,-122.315590,1794.66
1-SHUTTLE-A-MT,1603,47.581890,-122.315500,1801.5
1-SHUTTLE-A-MT,1604,47.581880,-122.315360,1812.06
1-SHUTTLE-A-MT,1605,47.581880,-122.315280,1818.06
1-SHUTTLE-A-MT,1606,47.581890,-122.314870,1848.83
1-SHUTTLE-A-MT,1607,47.581890,-122.314830,1851.83
1-SHUTTLE-A-MT,1608,47.581880,-122.314750,1857.94
1-SHUTTLE-A-MT,1609,47.581880,-122.314690,1862.44
1-SHUTTLE-A-MT,1610,47.581840,-122.314600,1870.52
1-SHUTTLE-A-MT,1611,47.581810,-122.314570,1874.54
1-SHUTTLE-A-MT,1612,47.581770,-122.314520,1880.36
1-SHUTTLE-A-MT,1613,47.581640,-122.314390,1897.8
1-SHUTTLE-A-MT,1614,47.581570,-122.314330,1906.79
1-SHUTTLE-A-MT,1615,47.581440,-122.314210,1923.82
1-SHUTTLE-A-MT,1616,47.581340,-122.314120,1936.83
1-SHUTTLE-A-MT,1617,47.581320,-122.314100,1939.51
1-SHUTTLE-A-MT,1618,47.581260,-122.314050,1947.16
1-SHUTTLE-A-MT,1619,47.581110,-122.313910,1966.87
1-SHUTTLE-A-MT,1620,47.581030,-122.313840,1977.2
1-SHUTTLE-A-MT,1621,47.580940,-122.313750,1989.27
1-SHUTTLE-A-MT,1622,47.580720,-122.313550,2017.97
1-SHUTTLE-A-MT,1623,47.580710,-122.313540,2019.31
1-SHUTTLE-A-MT,1624,47.580600,-122.313430,2034.06
1-SHUTTLE-A-MT,1625,47.580470,-122.313310,2051.09
1-SHUTTLE-A-MT,1626,47.580150,-122.313010,2093.19
1-SHUTTLE-A-MT,1627,47.579870,-122.312740,2130.33
1-SHUTTLE-A-MT,1628,47.579570,-122.312460,2169.75
1-SHUTTLE-A-MT,1629,47.579560,-122.312450,2171.09
1-SHUTTLE-A-MT,1630,47.579470,-122.312370,2182.76
